Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
9.8.2019;15:56:00;Alvarleg slys;Hjólreiðastígur sem liggur meðfram Kópavogstúni;Slys á óvörðum vegfaranda;Reiðhjól;;;;;50 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
8.8.2019;11:00:00;Alvarleg slys;Suðurlandsvegur, Skógavegur Gatnamót þar við;Hliðarákeyrsla;Fólksbifreið;Vörubifreið II;;;;51 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;30 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;55 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;42 ára Karl, Ökumaður, Vörubifreið II, Lítið slasaður;;
7.8.2019;15:17:00;Alvarleg slys;Göngustígur í Laugardalnum;Hliðarákeyrsla;Reiðhjól;Reiðhjól;;;;42 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
7.8.2019;13:02:00;Alvarleg slys;Kópavogsgerði við Kópavogstún;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;63 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;7 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;26 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
6.8.2019;10:23:00;Alvarleg slys;Þjórsárdalsvegur, vestan við  Hjálparfoss;Aftanákeyrsla;Sendibifreið;Fólksbifreið;;;;49 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;60 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;10 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;25 ára Karl, Farþegi í framsæti, Sendibifreið, Alvarlega slasaður;23 ára Karl, Farþegi í framsæti m, Sendibifreið, Lítið slasaður;53 ára Karl, Ökumaður, Sendibifreið, Lítið slasaður
5.8.2019;12:45:00;Alvarleg slys;Suðurlandsvegur;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;77 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;82 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;21 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
4.8.2019;13:15:00;Alvarleg slys;Meðfram Hafnarbraut;Slys á óvörðum vegfaranda;Reiðhjól;;;;;14 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
2.8.2019;19:40:00;Alvarleg slys;Hálsasveitarvegur, Breiðavatn, norðan við;Útafakstur og bílveltur;Fólksbifreið;;;;;24 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;25 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;24 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;
30.7.2019;19:31:00;Alvarleg slys;Skagfirðingabraut, Sæmundarhlíð;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;55 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;27 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;;;;
29.7.2019;16:45:00;Alvarleg slys;Gangstétt  Flugvallarvegur  -  Vestan við Hlíðarenda  ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;46 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
25.7.2019;19:37:00;Alvarleg slys;Akureyjarvegur, Landeyjarvegur, rétt neðan við Njálsbúð  -  Á eða við akbraut;Útafakstur og bílveltur;Torfæruhjól;;;;;39 ára Karl, Ökumaður, Torfæruhjól, Alvarlega slasaður;;;;;
24.7.2019;10:58:00;Alvarleg slys;Norðurlandsvegur, Öxnadalsheiði;Útafakstur og bílveltur;Vörubifreið II;;;;;33 ára Karl, Ökumaður, Vörubifreið II, Alvarlega slasaður;;;;;
24.7.2019;10:38:00;Alvarleg slys;Ólafsfjarðarvegur, Krossar, norðan við;Útafakstur og bílveltur;Fólksbifreið;;;;;22 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
19.7.2019;21:59:00;Alvarleg slys;Slóð bak við Þrymsalir  -  Hús nr. 11-13,  ;Útafakstur og bílveltur;Torfæruhjól;;;;;44 ára Karl, Ökumaður, Torfæruhjól, Alvarlega slasaður;;;;;
19.7.2019;15:45:00;Alvarleg slys;Hvaleyrarbraut  -  Krónan við;Slys á óvörðum vegfaranda;Reiðhjól;;;;;56 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
17.7.2019;11:13:00;Alvarleg slys;Norðurlandsvegur, Laxá á Ásum. við  -  Á eða við akbraut;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;;;;64 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;;;;;
15.7.2019;10:22:00;Alvarleg slys;Biskupstungnabraut, Geysir, þar við;Ekið á hlut á eða við akbraut;Dráttarvél;;;;;70 ára Karl, Ökumaður, Dráttarvél, Alvarlega slasaður;;;;;
12.7.2019;22:11:00;Alvarleg slys;Múlavegur  -  Grasagarður, móts við;Slys á óvörðum vegfaranda;Reiðhjól;;;;;48 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
9.7.2019;23:40:00;Alvarleg slys;Miðskógar  -  Breiðholtsbraut - undirgöng ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;53 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
6.7.2019;14:05:00;Alvarleg slys;Dalvegur  -  hjóla/göngustígur  norðan við ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;51 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
5.7.2019;10:43:00;Alvarleg slys;Suðurlandsvegur/Dímonarvegur;Hliðarákeyrsla;Hópbifreið II;Fólksbifreið;;;;76 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;75 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
2.7.2019;14:28:00;Alvarleg slys;Landmannaleið - Dómadalur;Fall af bifhjóli;Þungt bifhjól;;;;;60 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
28.6.2019;16:53:00;Alvarleg slys;Suðurlandsvegur, Móeiðarhvolsvegur, við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;30 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;26 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;26 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;
26.6.2019;16:09:00;Alvarleg slys;Útnesvegur  -  Lágafell;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;66 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;70 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
23.6.2019;15:06:00;Alvarleg slys;Siglufjarðarvegur  -  Laugaland ;Útafakstur og bílveltur;Fólksbifreið;;;;;31 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;57 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
18.6.2019;23:22:00;Alvarleg slys;Vesturlandsvegur  -  Við Hreimsstaði;Útafakstur og bílveltur;Fólksbifreið;;;;;20 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;21 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;
18.6.2019;15:56:00;Alvarleg slys;Þorlákshafnarvegur  -  Stóragerði, austan við;Útafakstur og bílveltur;Fólksbifreið;;;;;37 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
17.6.2019;10:42:00;Alvarleg slys;Garðvegur, Mánatorg;Fall af bifhjóli;Þungt bifhjól;;;;;26 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
16.6.2019;09:54:00;Alvarleg slys;Elliðavatnsvegur, Maríuhellar, við;Framanákeyrsla;Þungt bifhjól;Fólksbifreið;;;;48 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
14.6.2019;20:05:00;Alvarleg slys;Glæsivellir 22,  göngustígur;Fall af bifhjóli;Þungt bifhjól;;;;;62 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
14.6.2019;18:20:00;Alvarleg slys;Nýbýlavegur, Birkigrund,   -  Gangbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;56 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
14.6.2019;15:50:00;Alvarleg slys;Baugakór, Nr 8. fyrir framan  ;Ekið á hlut á eða við akbraut;Þungt bifhjól;Sendibifreið;;;;48 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
11.6.2019;10:49:00;Alvarleg slys;Háskóli Íslands;Ekið á hlut á eða við akbraut;Reiðhjól;;;;;13 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
10.6.2019;13:29:00;Alvarleg slys;Elliðaárdalur;Slys á óvörðum vegfaranda;Reiðhjól;;;;;19 ára Karl, Ökumaður, Reiðhjól, Alvarlega slasaður;7 ára Kona, Fótgangandi, Reiðhjól, Alvarlega slasaður;;;;
8.6.2019;22:17:00;Alvarleg slys;Stígur við Suðurstrandarvegur  -  Ísólfsskáli, við;Slys á óvörðum vegfaranda;Reiðhjól;;;;;57 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
5.6.2019;19:59:00;Alvarleg slys;Göngustígur bak við Klapparhlíð 26;Slys á óvörðum vegfaranda;Reiðhjól;Reiðhjól;;;;10 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;47 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;
1.6.2019;11:29:00;Alvarleg slys;Norðurlandsvegur, Auðólfsstaðir, sunnan;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;36 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
31.5.2019;23:39:00;Alvarleg slys;Vesturlandsvegur, Langitangi, hringtorg  -  Á eða við akbraut;Annað;Fólksbifreið;Þungt bifhjól;;;;36 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
30.5.2019;16:51:00;Alvarleg slys;Suðurlandsvegur, Kambar;Útafakstur og bílveltur;Þungt bifhjól;;;;;46 ára Kona, Farþegi í aftursæti m, Þungt bifhjól, Alvarlega slasaður;47 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;
30.5.2019;16:05:00;Alvarleg slys;Hringvegur, Mjóafjarðarvegur, afleggjari;Hliðarákeyrsla;Þungt bifhjól;Vörubifreið II;;;;57 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
29.5.2019;22:00:00;Alvarleg slys;Höfðabakkabrú,;Fall af bifhjóli;Þungt bifhjól;;;;;48 ára Kona, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
29.5.2019;20:41:00;Alvarleg slys;Bústaðavegur, Háahlíð, við;Fall af bifhjóli;Þungt bifhjól;;;;;57 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
28.5.2019;14:23:00;Alvarleg slys;Tjarnarbraut, Blikatjörn, þar við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Hópbifreið II;;;;;82 ára Kona, Fótgangandi, Hópbifreið II, Alvarlega slasaður;;;;;
28.5.2019;13:02:00;Alvarleg slys;Suðurlandsvegur  -  Jökulsárlón,;Fall af bifhjóli;Þungt bifhjól;;;;;66 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
26.5.2019;14:22:00;Alvarleg slys;Sogavegur, Austurgerði -  gatnamótin  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;8 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
25.5.2019;15:00:00;Alvarleg slys;Dalshöfði, vegslóði hjá gamla fjárhúsi;Fall af bifhjóli;Torfæruhjól;;;;;14 ára Karl, Ökumaður, Torfæruhjól, Alvarlega slasaður;;;;;
23.5.2019;20:50:00;Alvarleg slys;Breiðholtsbraut, Norðlingaholt, móts við;Fall af bifhjóli;Þungt bifhjól;;;;;34 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
17.5.2019;15:48:00;Alvarleg slys;Melabraut, 27, móts við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;8 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
17.5.2019;13:30:00;Alvarleg slys;Álafossvegur, Álafossvegur 10, við  -  Á eða við akbraut;Útafakstur og bílveltur;Hópbifreið II;;;;;13 ára Karl, Farþegi í aftursæti v, Hópbifreið II, Alvarlega slasaður;50 ára Karl, Ökumaður, Hópbifreið II, Alvarlega slasaður;;;;
16.5.2019;20:22:00;Alvarleg slys;Sæbraut, Sólfar, við  -  Á eða við akbraut;Hliðarákeyrsla;Þungt bifhjól;Fólksbifreið;Fólksbifreið;;;42 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
16.5.2019;15:01:00;Alvarleg slys;Suðurlandsvegur, Hof I, austan við;Útafakstur og bílveltur;Hópbifreið II;;;;;52 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;59 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;52 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;44 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður;62 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;45 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður
14.5.2019;16:44:00;Alvarleg slys;Bifreiðastæði við Dalbraut 1;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;30 ára Karl, Fótgangandi, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
13.5.2019;01:22:00;Alvarleg slys;Við Ketilhúshaga 28;Fall af bifhjóli;Torfæruhjól;;;;;50 ára Karl, Ökumaður, Torfæruhjól, Alvarlega slasaður;;;;;
11.5.2019;16:56:00;Alvarleg slys;Reykjanesbraut, vestur Reykjanesbraut  -  Á eða við akbraut;Hliðarákeyrsla;Þungt bifhjól;Fólksbifreið;Þungt bifhjól;;;59 ára Kona, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
10.5.2019;15:34:00;Alvarleg slys;Norðurlandsvegur, Stóra Giljá, við;Útafakstur og bílveltur;Fólksbifreið;;;;;22 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
8.5.2019;16:06:00;Alvarleg slys;Bæjarbraut;Slys á óvörðum vegfaranda;Reiðhjól;;;;;58 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
4.5.2019;15:13:00;Alvarleg slys;Sunnuhlíð,  Skarðshlíð  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;7 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
22.4.2019;09:14:00;Alvarleg slys;Einarsnes 58, við  -  Á eða við akbraut;Annað;Reiðhjól;Fólksbifreið;;;;41 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
8.4.2019;12:56:00;Alvarleg slys;Hringbraut, Skammt vestan við Bústaðaveg;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;27 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
8.4.2019;11:59:00;Alvarleg slys;Skólabraut  - göngustígur móts  við Varmárskóla ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;48 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
4.4.2019;10:45:00;Alvarleg slys;Reykjanesbraut,;Útafakstur og bílveltur;Fólksbifreið;;;;;46 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
1.4.2019;19:47:00;Alvarleg slys;Hörgárbraut, Tryggvabraut, gatnamót;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;69 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;12 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;25 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
26.3.2019;20:11:00;Alvarleg slys;Rafstöðvarvegur  -  lítil brú við Elliðarárdal - á göngubraut á brúnni  -;Slys á óvörðum vegfaranda;Reiðhjól;;;;;63 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
26.3.2019;14:40:00;Alvarleg slys;Hringbraut, Njarðargata, við  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;80 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;45 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
20.3.2019;16:12:00;Alvarleg slys;Klettagarðar,   -  Á/við gatnamót;Aftanákeyrsla;Fólksbifreið;Hópbifreið II;;;;37 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
17.3.2019;09:51:00;Alvarleg slys;Suðurlandsvegur, Sólheimajökulsvegur, vestan;Útafakstur og bílveltur;Fólksbifreið;;;;;2 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;33 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;;;;
17.3.2019;02:28:00;Alvarleg slys;Ennisbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;23 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;20 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;21 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;
16.3.2019;18:06:00;Alvarleg slys;Eyrarbakkavegur, Gatamót til Stokkseyrar  -  Á/við gatnamót;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;79 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;;
11.3.2019;13:35:00;Alvarleg slys;Fífuhvammsvegur  -  Hafnarfjarðarvegur, aðrein;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;29 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
6.3.2019;11:00:00;Alvarleg slys;Glerárgata, bifreiðastæði við nr,32;Annað;Fólksbifreið;;;;;14 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;;;;;
2.3.2019;11:09:00;Alvarleg slys;Eldvarparvegur, Eldvörp, við;Fall af bifhjóli;Þungt bifhjól;;;;;27 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
28.2.2019;19:31:00;Alvarleg slys;Lambhagavegur, Bauhaus, hjá;Slys á óvörðum vegfaranda;Sendibifreið;;;;;24 ára Karl, Fótgangandi, Sendibifreið, Alvarlega slasaður;;;;;
14.2.2019;17:23:00;Alvarleg slys;Suðurlandsvegur, Hjörleifshöfði, austan við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;50 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;48 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;34 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;26 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;
13.2.2019;15:58:00;Alvarleg slys;Klettagarðar, við  -  Á/við gatnamót;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;55 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;25 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
12.2.2019;09:09:00;Alvarleg slys;Vesturlandsvegur  -  Hvalfjarðargöng,  norður munni, hjá;Aftanákeyrsla;Fólksbifreið;Sendibifreið;;;;80 ára Karl, Fótgangandi, Sendibifreið, Alvarlega slasaður;;;;;
9.2.2019;18:58:00;Alvarleg slys;Eyrarvegur 21, Við  -  Gangbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;34 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
8.2.2019;08:42:00;Alvarleg slys;Skeiða- og Hrunamannavegur, Skálholtsvegur  -  Á/við gatnamót;Hliðarákeyrsla;Fólksbifreið;Sendibifreið;;;;25 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
7.2.2019;15:21:00;Alvarleg slys;Hringvegur, Vaglaskógarvegur, sunnan við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;67 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;69 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;39 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;43 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;
7.2.2019;13:48:00;Alvarleg slys;Vesturlandsvegur, Suðurlandsvegur, við, undir brúnni.  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Vörubifreið II;;;;86 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
3.2.2019;18:42:00;Alvarleg slys;Rofabær, Melbær;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;8 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;8 ára Karl, Farþegi í aftursæti m, Fólksbifreið, Lítið slasaður;36 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;62 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;
30.1.2019;15:57:00;Alvarleg slys;Biskupstungnabraut, Brúnni yfir Tungufljót, Á  -  Í/við einbreiða brú;Framanákeyrsla;Hópbifreið I;Fólksbifreið;;;;25 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;26 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;29 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;14 ára Kona, Farþegi í framsæti, Hópbifreið I, Alvarlega slasaður;;
24.1.2019;12:50:00;Alvarleg slys;Húsafell, Slóði, norðan við fjallið;Útafakstur og bílveltur;Dráttarvél;;;;;16 ára Karl, Ökumaður, Dráttarvél, Alvarlega slasaður;;;;;
20.1.2019;18:37:00;Alvarleg slys;Vesturlandsvegur, Hofsland, við  -  Á eða við akbraut;Útafakstur og bílveltur;Hópbifreið II;;;;;27 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Alvarlega slasaður;26 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;55 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður;38 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Lítið slasaður;67 ára Karl, Farþegi í aftursæti m, Hópbifreið II, Lítið slasaður;64 ára Kona, Farþegi í aftursæti v, Hópbifreið II, Alvarlega slasaður
17.1.2019;18:04:00;Alvarleg slys;Norðurtún, ;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;11 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
9.1.2019;13:53:00;Alvarleg slys;Suðurlandsvegur, Hengladalsá, við;Útafakstur og bílveltur;Vörubifreið II;;;;;21 ára Karl, Ökumaður, Vörubifreið II, Alvarlega slasaður;;;;;
8.1.2019;17:48:00;Alvarleg slys;Djúpvegur, Strandsel við;Útafakstur og bílveltur;Sendibifreið;;;;;71 ára Karl, Ökumaður, Sendibifreið, Alvarlega slasaður;59 ára Kona, Farþegi í framsæti, Sendibifreið, Lítið slasaður;;;;
3.1.2019;13:59:00;Alvarleg slys;Mímisbrunnur, sunnan við Iðunnartorg;Fall af bifhjóli;Þungt bifhjól;;;;;51 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
2.1.2019;16:29:00;Alvarleg slys;Öldugata, 33, við;Slys á óvörðum vegfaranda;Fólksbifreið;Fólksbifreið;;;;43 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
27.12.2018;07:43:00;Alvarleg slys;Göngustígur við Grensásvegur  -  Miklabraut;Slys á óvörðum vegfaranda;Reiðhjól;;;;;57 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
23.12.2018;20:52:00;Alvarleg slys;Reykjanesbraut, Straumsvík vestan við;Útafakstur og bílveltur;Fólksbifreið;;;;;10 ára Karl, Farþegi í aftursæti m, Fólksbifreið, Lítið slasaður;8 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;22 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;
22.12.2018;14:33:00;Alvarleg slys;Slóði utan við Biskupstungnabraut ;Fall af bifhjóli;Torfæruhjól;;;;;26 ára Karl, Ökumaður, Torfæruhjól, Alvarlega slasaður;;;;;
20.12.2018;16:22:00;Alvarleg slys;Bæjarháls,Hraunbær;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;3 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;;;;;
18.12.2018;15:53:00;Alvarleg slys;Suðurlandsvegur, Fossnes, hjá, Toyota.  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;66 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;62 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
17.12.2018;07:50:00;Alvarleg slys;Stórhöfði, Breiðhöfði, að;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;22 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
12.12.2018;16:37:00;Alvarleg slys;Gaulverjabæjarvegur, Hraunsá við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Sendibifreið;;;;18 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;41 ára Karl, Ökumaður, Sendibifreið, Alvarlega slasaður;;;;
8.12.2018;17:33:00;Alvarleg slys;Kringlumýrarbraut;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;Fólksbifreið;;62 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
6.12.2018;15:55:00;Alvarleg slys;Holtavörðuheiði,;Útafakstur og bílveltur;Fólksbifreið;;;;;55 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
5.12.2018;19:22:00;Alvarleg slys;Vesturlandsvegur, Fiskilækur við;Útafakstur og bílveltur;Fólksbifreið;;;;;18 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
4.12.2018;05:13:00;Alvarleg slys;G4042-02;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;41 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;49 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
