Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
3.11.2021;16:03:00;Banaslys;Hvalfjarðarvegur, Félagsgarður, þar við  -  Á eða við akbraut;Útafakstur og bílveltur;Vörubifreið I;;;;;32 ára Karl, Farþegi í framsæti, Vörubifreið I, Látinn;29 ára Karl, Ökumaður, Vörubifreið I, Alvarlega slasaður;;;;
17.2.2021;07:54:00;Banaslys;Urriðaholtsstræti, Kauptún gatnamót;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;76 ára Karl, Fótgangandi, Fólksbifreið, Látinn;;;;;
16.1.2021;10:16:00;Banaslys;Djúpvegur, vestan megin, Eyri, norðan  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;1 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Látinn;29 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Látinn;;;;
16.1.2021;08:13:00;Banaslys;Seljaskógar göngustígur;Slys á óvörðum vegfaranda;Reiðhjól;;;;;64 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Látinn;;;;;
4.10.2020;01:35:00;Banaslys;Heydalsvegur, ;Útafakstur og bílveltur;Fólksbifreið;;;;;48 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;57 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;
15.8.2020;13:36:00;Banaslys;Hringvegur, Við Stigá  -  Á eða við akbraut;Fall af bifhjóli;Þungt bifhjól;Fólksbifreið;;;;47 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;;
23.7.2020;22:39:00;Banaslys;Norðausturvegur, Hófaskarðsleið, sunnan vegamótanna, Presthólatjörn, hjá;Útafakstur og bílveltur;Fólksbifreið;;;;;41 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
10.7.2020;15:30:00;Banaslys;Skeiða- og Hrunamannavegur, ;Framanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;92 ára Karl, Ökumaður, Fólksbifreið, Látinn;76 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;45 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;
28.6.2020;15:14:00;Banaslys;Vesturlandsvegur, Grundarhverfi, norðan við;Fall af bifhjóli;Þungt bifhjól;Fólksbifreið;Þungt bifhjól;;;53 ára Kona, Farþegi í aftursæti m, Þungt bifhjól, Látinn;54 ára Karl, Ökumaður, Þungt bifhjól, Látinn;60 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;
10.3.2020;11:08:00;Banaslys;Reykjanesbraut, Dalvegur, við  -  Á eða við akbraut;Ekið á hlut á eða við akbraut;Fólksbifreið;Fólksbifreið;Fólksbifreið;;;21 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;22 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;30 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Látinn;;;
12.1.2020;21:22:00;Banaslys;Reykjanesbraut, Straumsvík, hjá;Framanákeyrsla;Fólksbifreið;Vörubifreið II;;;;43 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
21.11.2019;17:30:00;Banaslys;Hringvegur, Viðborðssel, hjá  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Sendibifreið;;;;;83 ára Karl, Fótgangandi, Sendibifreið, Látinn;;;;;
12.10.2019;13:05:00;Banaslys;Snæfellsnesvegur, við Gröf;Útafakstur og bílveltur;Fólksbifreið;;;;;17 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Látinn;15 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Alvarlega slasaður;20 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;54 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;52 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;
15.9.2019;10:55:00;Banaslys;Borgarfjarðarbraut, Grjóteyrarháls, á;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;30 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;57 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Látinn;34 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;17 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;
30.6.2019;15:41:00;Banaslys;Innstrandarvegur, Hrófá, hjá;Fall af bifhjóli;Þungt bifhjól;Fólksbifreið;;;;28 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;;
27.6.2019;17:37:00;Banaslys;Ingjaldssandsvegur  -  Sandsheiði ;Útafakstur og bílveltur;Ökutæki ekki í Ekju;;;;;57 ára Karl, Ökumaður, Ökutæki ekki í Ekju, Látinn;;;;;
23.4.2019;21:28:00;Banaslys;Norðurlandsvegur, ;Útafakstur og bílveltur;Fólksbifreið;;;;;63 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
27.12.2018;09:42:00;Banaslys;Suðurlandsvegur, Núpsvatnabrú, við  -  Á eða við brú;Annað;Fólksbifreið;;;;;0 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Látinn;36 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Látinn;33 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Látinn;8 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;6 ára Karl, Farþegi í aftursæti m, Fólksbifreið, Alvarlega slasaður;39 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður
11.11.2018;18:24:00;Banaslys;Borgarfjarðarbraut, norðan við  Flókadalsá ;Útafakstur og bílveltur;Sendibifreið;;;;;26 ára Karl, Ökumaður, Sendibifreið, Látinn;;;;;
28.10.2018;05:44:00;Banaslys;Reykjanesbraut, - móts við Bónus;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;28 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;41 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;34 ára Karl, Farþegi í framsæti, Fólksbifreið, Látinn;;;
18.9.2018;14:39:00;Banaslys;Víðinesvegur, Álfsnes, við;Útafakstur og bílveltur;Fólksbifreið;;;;;55 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
21.7.2018;15:52:00;Banaslys;Þingvallavegur, Æsustaðavegur, hjá;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;30 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;81 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;65 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;;;
25.6.2018;16:08:00;Banaslys;Þverárfjallsvegur 541, Þverá;Útafakstur og bílveltur;Torfæruhjól;;;;;69 ára Karl, Ökumaður, Torfæruhjól, Látinn;;;;;
13.6.2018;15:53:00;Banaslys;Djúpvegur, Hestfjörður;Útafakstur og bílveltur;Sendibifreið;;;;;66 ára Karl, Ökumaður, Sendibifreið, Látinn;43 ára Karl, Farþegi í framsæti, Sendibifreið, Alvarlega slasaður;;;;
5.6.2018;15:54:00;Banaslys;Ólafsfjarðarvegur, Freyjulundur, við  -  Á eða við akbraut;Útafakstur og bílveltur;Hópbifreið II;;;;;9 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;60 ára Karl, Ökumaður, Hópbifreið II, Látinn;;;;
4.6.2018;19:23:00;Banaslys;Vesturlandsvegur, Enni, á móts við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;32 ára Karl, Ökumaður, Fólksbifreið, Látinn;4 ára Kona, Farþegi í framsæti m, Fólksbifreið, Alvarlega slasaður;16 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;7 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;10 ára Karl, Farþegi í aftursæti m, Fólksbifreið, Lítið slasaður;6 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður
16.5.2018;14:36:00;Banaslys;Suðurlandsvegur, Landeyjarhafnarvegur;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;26 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;64 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;33 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;49 ára Kona, Ökumaður, Fólksbifreið, Látinn;;
4.4.2018;19:47:00;Banaslys;Suðurlandsvegur, Höfðabrekka, austan við;Útafakstur og bílveltur;Fólksbifreið;;;;;23 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;23 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;23 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;
8.3.2018;15:33:00;Banaslys;Lyngdalsheiðarvegur, ;Framanákeyrsla;Vörubifreið II;Sendibifreið;;;;25 ára Karl, Ökumaður, Sendibifreið, Látinn;22 ára Kona, Farþegi í framsæti, Sendibifreið, Látinn;;;;
